OCC_CODE	OCC_TITLE	EDUCATIONLEVELID
39-3019	Gaming Service Workers All Other	HIGH
39-3021	Motion Picture Projectionists	NONE
39-3031	Ushers Lobby Attendants and Ticket Takers	NONE
39-3091	Amusement and Recreation Attendants	NONE
39-3092	Costume Attendants	HIGH
39-3093	Locker Room Coatroom and Dressing Room Attendants	HIGH
39-3099	Entertainment Attendants and Related Workers All Other	HIGH
39-4011	Embalmers	ASSC
39-4021	Funeral Attendants	HIGH
39-4031	Morticians Undertakers and Funeral Directors	ASSC
39-5011	Barbers	SCND
39-5012	Hairdressers Hairstylists and Cosmetologists	SCND
39-5091	Makeup Artists Theatrical and Performance	SCND
39-5092	Manicurists and Pedicurists	SCND
39-5093	Shampooers	NONE
39-5094	Skincare Specialists	SCND
39-6011	Baggage Porters and Bellhops	HIGH
39-6012	Concierges	HIGH
39-7011	Tour Guides and Escorts	HIGH
39-7012	Travel Guides	HIGH
39-9011	Childcare Workers	HIGH
39-9021	Personal Care Aides	HIGH
39-9031	Fitness Trainers and Aerobics Instructors	HIGH
39-9032	Recreation Workers	HIGH
39-9041	Residential Advisors	HIGH
39-9099	Personal Care and Service Workers All Other	HIGH
41-0000	Sales and Related Occupations	UNDT
41-1011	First-Line Supervisors of Retail Sales Workers	HIGH
41-1012	First-Line Supervisors of Non-Retail Sales Workers	HIGH
41-2011	Cashiers	NONE
41-2012	Gaming Change Persons and Booth Cashiers	NONE
41-2021	Counter and Rental Clerks	NONE
41-2022	Parts Salespersons	NONE
41-2031	Retail Salespersons	NONE
41-3011	Advertising Sales Agents	HIGH
41-3021	Insurance Sales Agents	HIGH
41-3031	Securities Commodities and Financial Services Sales Agents	BACH
41-3041	Travel Agents	HIGH
41-3099	Sales Representatives Services All Other	HIGH
41-4011	Sales Representatives Wholesale and Manufacturing Technical and Scientific Products	BACH
41-4012	Sales Representatives Wholesale and Manufacturing Except Technical and Scientific Products	HIGH
41-9011	Demonstrators and Product Promoters	NONE
41-9012	Models	NONE
41-9021	Real Estate Brokers	HIGH
41-9022	Real Estate Sales Agents	HIGH
41-9031	Sales Engineers	BACH
41-9041	Telemarketers	NONE
41-9091	Door-to-Door Sales Workers News and Street Vendors and Related Workers	NONE
41-9099	Sales and Related Workers All Other	HIGH
43-0000	Office and Administrative Support Occupations	UNDT
43-1011	First-Line Supervisors of Office and Administrative Support Workers	HIGH
43-2011	Switchboard Operators Including Answering Service	HIGH
43-2021	Telephone Operators	HIGH
43-2099	Communications Equipment Operators All Other	HIGH
43-3011	Bill and Account Collectors	HIGH
43-3021	Billing and Posting Clerks	HIGH
43-3031	Bookkeeping Accounting and Auditing Clerks	SCND
43-3041	Gaming Cage Workers	HIGH
43-3051	Payroll and Timekeeping Clerks	HIGH
43-3061	Procurement Clerks	HIGH
43-3071	Tellers	HIGH
43-3099	Financial Clerks All Other	HIGH
43-4011	Brokerage Clerks	HIGH
43-4021	Correspondence Clerks	HIGH
43-4031	Court Municipal and License Clerks	HIGH
43-4041	Credit Authorizers Checkers and Clerks	HIGH
43-4051	Customer Service Representatives	HIGH
43-4061	Eligibility Interviewers Government Programs	HIGH
43-4071	File Clerks	HIGH
43-4081	Hotel Motel and Resort Desk Clerks	HIGH
43-4111	Interviewers Except Eligibility and Loan	HIGH
43-4121	Library Assistants Clerical	HIGH
43-4131	Loan Interviewers and Clerks	HIGH
43-4141	New Accounts Clerks	HIGH
43-4151	Order Clerks	HIGH
43-4161	Human Resources Assistants Except Payroll and Timekeeping	ASSC
43-4171	Receptionists and Information Clerks	HIGH
43-4181	Reservation and Transportation Ticket Agents and Travel Clerks	HIGH
43-4199	Information and Record Clerks All Other	HIGH
43-5011	Cargo and Freight Agents	HIGH
43-5021	Couriers and Messengers	HIGH
43-5031	Police Fire and Ambulance Dispatchers	HIGH
43-5032	Dispatchers Except Police Fire and Ambulance	HIGH
43-5041	Meter Readers Utilities	HIGH
43-5051	Postal Service Clerks	HIGH
43-5052	Postal Service Mail Carriers	HIGH
43-5053	Postal Service Mail Sorters Processors and Processing Machine Operators	HIGH
43-5061	Production Planning and Expediting Clerks	HIGH
43-5071	Shipping Receiving and Traffic Clerks	HIGH
43-5081	Stock Clerks and Order Fillers	HIGH
43-5111	Weighers Measurers Checkers and Samplers Recordkeeping	HIGH
43-6011	Executive Secretaries and Executive Administrative Assistants	HIGH
43-6012	Legal Secretaries	HIGH
43-6013	Medical Secretaries	HIGH
43-6014	Secretaries and Administrative Assistants Except Legal Medical and Executive	HIGH
43-9011	Computer Operators	HIGH
43-9021	Data Entry Keyers	HIGH
43-9022	Word Processors and Typists	HIGH
43-9031	Desktop Publishers	ASSC
43-9041	Insurance Claims and Policy Processing Clerks	HIGH
43-9051	Mail Clerks and Mail Machine Operators Except Postal Service	HIGH
43-9061	Office Clerks General	HIGH
43-9071	Office Machine Operators Except Computer	HIGH
43-9081	Proofreaders and Copy Markers	BACH
43-9111	Statistical Assistants	BACH
43-9199	Office and Administrative Support Workers All Other	HIGH
45-0000	Farming Fishing and Forestry Occupations	UNDT
45-1011	First-Line Supervisors of Farming Fishing and Forestry Workers	HIGH
45-2011	Agricultural Inspectors	BACH
45-2021	Animal Breeders	HIGH
45-2041	Graders and Sorters Agricultural Products	NONE
45-2091	Agricultural Equipment Operators	NONE
45-2092	Farmworkers and Laborers Crop Nursery and Greenhouse	NONE
45-2093	Farmworkers Farm Ranch and Aquacultural Animals	NONE
45-2099	Agricultural Workers All Other	NONE
45-3011	Fishers and Related Fishing Workers	UNDT
45-4011	Forest and Conservation Workers	HIGH
45-4021	Fallers	HIGH
45-4022	Logging Equipment Operators	HIGH
45-4023	Log Graders and Scalers	HIGH
45-4029	Logging Workers All Other	HIGH
47-0000	Construction and Extraction Occupations	UNDT
47-1011	First-Line Supervisors of Construction Trades and Extraction Workers	HIGH
47-2011	Boilermakers	HIGH
47-2021	Brickmasons and Blockmasons	HIGH
47-2022	Stonemasons	HIGH
47-2031	Carpenters	HIGH
47-2041	Carpet Installers	NONE
47-2042	Floor Layers Except Carpet Wood and Hard Tiles	NONE
47-2043	Floor Sanders and Finishers	NONE
47-2044	Tile and Marble Setters	NONE
47-2051	Cement Masons and Concrete Finishers	NONE
47-2053	Terrazzo Workers and Finishers	HIGH
47-2061	Construction Laborers	NONE
47-2071	Paving Surfacing and Tamping Equipment Operators	HIGH
47-2072	Pile-Driver Operators	HIGH
47-2073	Operating Engineers and Other Construction Equipment Operators	HIGH
47-2081	Drywall and Ceiling Tile Installers	NONE
47-2082	Tapers	NONE
47-2111	Electricians	HIGH
47-2121	Glaziers	HIGH
47-2131	Insulation Workers Floor Ceiling and Wall	NONE
47-2132	Insulation Workers Mechanical	HIGH
47-2141	Painters Construction and Maintenance	NONE
47-2142	Paperhangers	NONE
47-2151	Pipelayers	NONE
47-2152	Plumbers Pipefitters and Steamfitters	HIGH
47-2161	Plasterers and Stucco Masons	NONE
47-2171	Reinforcing Iron and Rebar Workers	HIGH
47-2181	Roofers	NONE
47-2211	Sheet Metal Workers	HIGH
47-2221	Structural Iron and Steel Workers	HIGH
47-2231	Solar Photovoltaic Installers	HIGH
47-3011	Helpers--Brickmasons Blockmasons Stonemasons and Tile and Marble Setters	NONE
47-3012	Helpers--Carpenters	NONE
47-3013	Helpers--Electricians	HIGH
47-3014	Helpers--Painters Paperhangers Plasterers and Stucco Masons	NONE
47-3015	Helpers--Pipelayers Plumbers Pipefitters and Steamfitters	HIGH
47-3016	Helpers--Roofers	NONE
47-3019	Helpers Construction Trades All Other	NONE
47-4011	Construction and Building Inspectors	HIGH
47-4021	Elevator Installers and Repairers	HIGH
47-4031	Fence Erectors	NONE
47-4041	Hazardous Materials Removal Workers	HIGH
47-4051	Highway Maintenance Workers	HIGH
47-4061	Rail-Track Laying and Maintenance Equipment Operators	HIGH
47-4071	Septic Tank Servicers and Sewer Pipe Cleaners	HIGH
47-4091	Segmental Pavers	HIGH
47-4099	Construction and Related Workers All Other	HIGH
47-5011	Derrick Operators Oil and Gas	NONE
47-5012	Rotary Drill Operators Oil and Gas	NONE
47-5013	Service Unit Operators Oil Gas and Mining	NONE
47-5021	Earth Drillers Except Oil and Gas	HIGH
47-5031	Explosives Workers Ordnance Handling Experts and Blasters	HIGH
47-5041	Continuous Mining Machine Operators	NONE
47-5042	Mine Cutting and Channeling Machine Operators	HIGH
47-5049	Mining Machine Operators All Other	HIGH
47-5051	Rock Splitters Quarry	NONE
47-5061	Roof Bolters Mining	HIGH
47-5071	Roustabouts Oil and Gas	NONE
47-5081	Helpers--Extraction Workers	HIGH
47-5099	Extraction Workers All Other	HIGH
49-0000	Installation Maintenance and Repair Occupations	UNDT
49-1011	First-Line Supervisors of Mechanics Installers and Repairers	HIGH
49-2011	Computer Automated Teller and Office Machine Repairers	SCND
49-2021	Radio Cellular and Tower Equipment Installers and Repairers	ASSC
49-2022	Telecommunications Equipment Installers and Repairers Except Line Installers	SCND
49-2091	Avionics Technicians	ASSC
49-2092	Electric Motor Power Tool and Related Repairers	HIGH
49-2093	Electrical and Electronics Installers and Repairers Transportation Equipment	SCND
49-2094	Electrical and Electronics Repairers Commercial and Industrial Equipment	SCND
49-2095	Electrical and Electronics Repairers Powerhouse Substation and Relay	SCND
49-2096	Electronic Equipment Installers and Repairers Motor Vehicles	HIGH
49-2097	Electronic Home Entertainment Equipment Installers and Repairers	SCND
49-2098	Security and Fire Alarm Systems Installers	HIGH
49-3011	Aircraft Mechanics and Service Technicians	SCND
49-3021	Automotive Body and Related Repairers	HIGH
49-3022	Automotive Glass Installers and Repairers	HIGH
49-3023	Automotive Service Technicians and Mechanics	SCND
49-3031	Bus and Truck Mechanics and Diesel Engine Specialists	HIGH
49-3041	Farm Equipment Mechanics and Service Technicians	HIGH
49-3042	Mobile Heavy Equipment Mechanics Except Engines	HIGH
49-3043	Rail Car Repairers	HIGH
49-3051	Motorboat Mechanics and Service Technicians	HIGH
49-3052	Motorcycle Mechanics	SCND
49-3053	Outdoor Power Equipment and Other Small Engine Mechanics	HIGH
49-3091	Bicycle Repairers	HIGH
49-3092	Recreational Vehicle Service Technicians	HIGH
49-3093	Tire Repairers and Changers	HIGH
49-9011	Mechanical Door Repairers	HIGH
49-9012	Control and Valve Installers and Repairers Except Mechanical Door	HIGH
49-9021	Heating Air Conditioning and Refrigeration Mechanics and Installers	SCND
49-9031	Home Appliance Repairers	HIGH
49-9041	Industrial Machinery Mechanics	HIGH
49-9043	Maintenance Workers Machinery	HIGH
49-9044	Millwrights	HIGH
49-9045	Refractory Materials Repairers Except Brickmasons	HIGH
49-9051	Electrical Power-Line Installers and Repairers	HIGH
49-9052	Telecommunications Line Installers and Repairers	HIGH
49-9061	Camera and Photographic Equipment Repairers	HIGH
49-9062	Medical Equipment Repairers	ASSC
49-9063	Musical Instrument Repairers and Tuners	HIGH
49-9064	Watch Repairers	HIGH
49-9069	Precision Instrument and Equipment Repairers All Other	HIGH
49-9071	Maintenance and Repair Workers General	HIGH
49-9081	Wind Turbine Service Technicians	SCND
49-9091	Coin Vending and Amusement Machine Servicers and Repairers	HIGH
49-9092	Commercial Divers	SCND
49-9093	Fabric Menders Except Garment	HIGH
49-9094	Locksmiths and Safe Repairers	HIGH
49-9095	Manufactured Building and Mobile Home Installers	HIGH
49-9096	Riggers	HIGH
49-9097	Signal and Track Switch Repairers	HIGH
49-9098	Helpers--Installation Maintenance and Repair Workers	HIGH
49-9099	Installation Maintenance and Repair Workers All Other	HIGH
51-0000	Production Occupations	UNDT
51-1011	First-Line Supervisors of Production and Operating Workers	HIGH
51-2011	Aircraft Structure Surfaces Rigging and Systems Assemblers	HIGH
51-2021	Coil Winders Tapers and Finishers	HIGH
51-2022	Electrical and Electronic Equipment Assemblers	HIGH
51-2023	Electromechanical Equipment Assemblers	HIGH
51-2031	Engine and Other Machine Assemblers	HIGH
51-2041	Structural Metal Fabricators and Fitters	HIGH
51-2091	Fiberglass Laminators and Fabricators	HIGH
51-2092	Team Assemblers	HIGH
51-2093	Timing Device Assemblers and Adjusters	HIGH
51-2099	Assemblers and Fabricators All Other	HIGH
51-3011	Bakers	NONE
51-3021	Butchers and Meat Cutters	NONE
51-3022	Meat Poultry and Fish Cutters and Trimmers	NONE
51-3023	Slaughterers and Meat Packers	NONE
51-3091	Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders	NONE
51-3092	Food Batchmakers	HIGH
51-3093	Food Cooking Machine Operators and Tenders	HIGH
51-3099	Food Processing Workers All Other	NONE
51-4011	Computer-Controlled Machine Tool Operators Metal and Plastic	HIGH
51-4012	Computer Numerically Controlled Machine Tool Programmers Metal and Plastic	SCND
51-4021	Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic	HIGH
51-4022	Forging Machine Setters Operators and Tenders Metal and Plastic	HIGH
51-4023	Rolling Machine Setters Operators and Tenders Metal and Plastic	HIGH
51-4031	Cutting Punching and Press Machine Setters Operators and Tenders Metal and Plastic	HIGH
51-4032	Drilling and Boring Machine Tool Setters Operators and Tenders Metal and Plastic	HIGH
51-4033	Grinding Lapping Polishing and Buffing Machine Tool Setters Operators and Tenders Metal and Plastic	HIGH
51-4034	Lathe and Turning Machine Tool Setters Operators and Tenders Metal and Plastic	HIGH
51-4035	Milling and Planing Machine Setters Operators and Tenders Metal and Plastic	HIGH
51-4041	Machinists	HIGH
51-4051	Metal-Refining Furnace Operators and Tenders	HIGH
51-4052	Pourers and Casters Metal	HIGH
51-4061	Model Makers Metal and Plastic	HIGH
51-4062	Patternmakers Metal and Plastic	HIGH
51-4071	Foundry Mold and Coremakers	HIGH
51-4072	Molding Coremaking and Casting Machine Setters Operators and Tenders Metal and Plastic	HIGH
51-4081	Multiple Machine Tool Setters Operators and Tenders Metal and Plastic	HIGH
51-4111	Tool and Die Makers	SCND
51-4121	Welders Cutters Solderers and Brazers	HIGH
51-4122	Welding Soldering and Brazing Machine Setters Operators and Tenders	HIGH
51-4191	Heat Treating Equipment Setters Operators and Tenders Metal and Plastic	HIGH
51-4192	Layout Workers Metal and Plastic	HIGH
51-4193	Plating and Coating Machine Setters Operators and Tenders Metal and Plastic	HIGH
51-4194	Tool Grinders Filers and Sharpeners	HIGH
51-4199	Metal Workers and Plastic Workers All Other	HIGH
51-5111	Prepress Technicians and Workers	SCND
51-5112	Printing Press Operators	HIGH
51-5113	Print Binding and Finishing Workers	HIGH
51-6011	Laundry and Dry-Cleaning Workers	NONE
51-6021	Pressers Textile Garment and Related Materials	NONE
51-6031	Sewing Machine Operators	NONE
51-6041	Shoe and Leather Workers and Repairers	HIGH
51-6042	Shoe Machine Operators and Tenders	HIGH
51-6051	Sewers Hand	NONE
51-6052	Tailors Dressmakers and Custom Sewers	NONE
51-6061	Textile Bleaching and Dyeing Machine Operators and Tenders	HIGH
51-6062	Textile Cutting Machine Setters Operators and Tenders	HIGH
51-6063	Textile Knitting and Weaving Machine Setters Operators and Tenders	HIGH
51-6064	Textile Winding Twisting and Drawing Out Machine Setters Operators and Tenders	HIGH
51-6091	Extruding and Forming Machine Setters Operators and Tenders Synthetic and Glass Fibers	HIGH
51-6092	Fabric and Apparel Patternmakers	HIGH
51-6093	Upholsterers	HIGH
51-6099	Textile Apparel and Furnishings Workers All Other	HIGH
51-7011	Cabinetmakers and Bench Carpenters	HIGH
51-7021	Furniture Finishers	HIGH
51-7031	Model Makers Wood	HIGH
51-7032	Patternmakers Wood	HIGH
51-7041	Sawing Machine Setters Operators and Tenders Wood	HIGH
51-7042	Woodworking Machine Setters Operators and Tenders Except Sawing	HIGH
51-7099	Woodworkers All Other	HIGH
51-8011	Nuclear Power Reactor Operators	HIGH
51-8012	Power Distributors and Dispatchers	HIGH
51-8013	Power Plant Operators	HIGH
51-8021	Stationary Engineers and Boiler Operators	HIGH
51-8031	Water and Wastewater Treatment Plant and System Operators	HIGH
51-8091	Chemical Plant and System Operators	HIGH
51-8092	Gas Plant Operators	HIGH
51-8093	Petroleum Pump System Operators Refinery Operators and Gaugers	HIGH
51-8099	Plant and System Operators All Other	HIGH
51-9011	Chemical Equipment Operators and Tenders	HIGH
51-9012	Separating Filtering Clarifying Precipitating and Still Machine Setters Operators and Tenders	HIGH
51-9021	Crushing Grinding and Polishing Machine Setters Operators and Tenders	HIGH
51-9022	Grinding and Polishing Workers Hand	NONE
51-9023	Mixing and Blending Machine Setters Operators and Tenders	HIGH
51-9031	Cutters and Trimmers Hand	NONE
51-9032	Cutting and Slicing Machine Setters Operators and Tenders	HIGH
51-9041	Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders	HIGH
51-9051	Furnace Kiln Oven Drier and Kettle Operators and Tenders	HIGH
51-9061	Inspectors Testers Sorters Samplers and Weighers	HIGH
51-9071	Jewelers and Precious Stone and Metal Workers	HIGH
51-9081	Dental Laboratory Technicians	HIGH
51-9082	Medical Appliance Technicians	HIGH
51-9083	Ophthalmic Laboratory Technicians	HIGH
51-9111	Packaging and Filling Machine Operators and Tenders	HIGH
51-9121	Coating Painting and Spraying Machine Setters Operators and Tenders	HIGH
51-9122	Painters Transportation Equipment	HIGH
51-9123	Painting Coating and Decorating Workers	NONE
51-9141	Semiconductor Processors	HIGH
51-9151	Photographic Process Workers and Processing Machine Operators	HIGH
51-9191	Adhesive Bonding Machine Operators and Tenders	HIGH
51-9192	Cleaning Washing and Metal Pickling Equipment Operators and Tenders	HIGH
51-9193	Cooling and Freezing Equipment Operators and Tenders	HIGH
51-9194	Etchers and Engravers	HIGH
51-9195	Molders Shapers and Casters Except Metal and Plastic	HIGH
51-9196	Paper Goods Machine Setters Operators and Tenders	HIGH
51-9197	Tire Builders	HIGH
51-9198	Helpers--Production Workers	HIGH
51-9199	Production Workers All Other	HIGH
53-0000	Transportation and Material Moving Occupations	UNDT
53-1011	Aircraft Cargo Handling Supervisors	HIGH
53-1021	First-Line Supervisors of Helpers Laborers and Material Movers Hand	HIGH
53-1031	First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators	HIGH
53-2011	Airline Pilots Copilots and Flight Engineers	BACH
53-2012	Commercial Pilots	HIGH
53-2021	Air Traffic Controllers	ASSC
53-2022	Airfield Operations Specialists	HIGH
53-2031	Flight Attendants	HIGH
53-3011	Ambulance Drivers and Attendants Except Emergency Medical Technicians	HIGH
53-3021	Bus Drivers Transit and Intercity	HIGH
53-3022	Bus Drivers School or Special Client	HIGH
53-3031	Driver/Sales Workers	HIGH
53-3032	Heavy and Tractor-Trailer Truck Drivers	SCND
53-3033	Light Truck or Delivery Services Drivers	HIGH
53-3041	Taxi Drivers and Chauffeurs	NONE
53-3099	Motor Vehicle Operators All Other	NONE
53-4011	Locomotive Engineers	HIGH
53-4012	Locomotive Firers	HIGH
53-4013	Rail Yard Engineers Dinkey Operators and Hostlers	HIGH
53-4021	Railroad Brake Signal and Switch Operators	HIGH
53-4031	Railroad Conductors and Yardmasters	HIGH
53-4041	Subway and Streetcar Operators	HIGH
53-4099	Rail Transportation Workers All Other	HIGH
53-5011	Sailors and Marine Oilers	NONE
53-5021	Captains Mates and Pilots of Water Vessels	SCND
53-5022	Motorboat Operators	SCND
53-5031	Ship Engineers	SCND
53-6011	Bridge and Lock Tenders	HIGH
53-6021	Parking Lot Attendants	NONE
53-6031	Automotive and Watercraft Service Attendants	NONE
53-6041	Traffic Technicians	HIGH
53-6051	Transportation Inspectors	HIGH
53-6061	Transportation Attendants Except Flight Attendants	HIGH
53-6099	Transportation Workers All Other	HIGH
53-7011	Conveyor Operators and Tenders	NONE
53-7021	Crane and Tower Operators	HIGH
53-7031	Dredge Operators	HIGH
53-7032	Excavating and Loading Machine and Dragline Operators	HIGH
53-7033	Loading Machine Operators Underground Mining	NONE
53-7041	Hoist and Winch Operators	NONE
53-7051	Industrial Truck and Tractor Operators	NONE
53-7061	Cleaners of Vehicles and Equipment	NONE
53-7062	Laborers and Freight Stock and Material Movers Hand	NONE
53-7063	Machine Feeders and Offbearers	NONE
53-7064	Packers and Packagers Hand	NONE
53-7071	Gas Compressor and Gas Pumping Station Operators	HIGH
53-7072	Pump Operators Except Wellhead Pumpers	HIGH
53-7073	Wellhead Pumpers	HIGH
53-7081	Refuse and Recyclable Material Collectors	NONE
53-7111	Mine Shuttle Car Operators	NONE
53-7121	Tank Car Truck and Ship Loaders	NONE
53-7199	Material Moving Workers All Other	NONE
